re-certifying 30 endpoints (4 below2-max, 5 one-exact)
  [1/30] seed=406004 below2-max   theirs=[1.910032,2.1483] mine=[1.941913,1.956735] OK (2.8s)
  [2/30] seed=504010 below2-max   theirs=[1.754874,1.8483] mine=[1.747901,1.775140] OK (2.8s)
  [3/30] seed=604002 below2-max   theirs=[1.894167,2.1143] mine=[1.941124,1.950839] OK (2.7s)
  [4/30] seed=300010 below2-max   theirs=[1.919347,2.1798] mine=[1.939503,1.951944] OK (2.7s)
  [5/30] seed=403007 one-exact    theirs=[0.999999,1.0000] mine=[1.000000,1.000000] OK (2.1s)
  [6/30] seed=403004 one-exact    theirs=[0.999999,1.0000] mine=[1.000000,1.000000] OK (1.5s)
  [7/30] seed=603007 one-exact    theirs=[0.999999,1.0000] mine=[1.000000,1.000000] OK (2.0s)
  [8/30] seed=603004 one-exact    theirs=[0.992963,1.0000] mine=[1.000000,1.000000] OK (1.4s)
  [9/30] seed=503000 one-exact    theirs=[0.999999,1.0000] mine=[1.000000,1.000000] OK (2.1s)
  [10/30] seed=406009 near2-double theirs=[1.969724,2.0514] mine=[1.988100,1.995295] OK (2.8s)
  [11/30] seed=602004 near2-double theirs=[1.965527,2.0480] mine=[1.983826,1.991181] OK (2.7s)
  [12/30] seed=606007 near2-double theirs=[1.965215,2.0970] mine=[1.980765,1.986887] OK (2.7s)
  [13/30] seed=406007 near2-double theirs=[1.964387,2.0238] mine=[1.981619,1.989106] OK (2.8s)
  [14/30] seed=602007 near2-triple theirs=[1.963852,2.0031] mine=[1.982264,1.988248] OK (2.8s)
  [15/30] seed=601004 near2-triple theirs=[1.934241,2.1185] mine=[1.975335,1.990138] OK (2.9s)
  [16/30] seed=401001 near2-other  theirs=[1.912468,2.1704] mine=[1.964654,1.983228] OK (2.7s)
  [17/30] seed=401005 near2-double theirs=[1.926703,2.0794] mine=[1.966964,1.979422] OK (2.8s)
  [18/30] seed=502004 near2-double theirs=[1.942768,2.0517] mine=[1.962418,1.968147] OK (2.8s)
  [19/30] seed=406006 near2-double theirs=[1.938127,2.0702] mine=[1.960093,1.967043] OK (2.8s)
  [20/30] seed=406008 stall        theirs=[1.731392,1.8962] mine=[1.754875,1.764765] OK (2.8s)
  [21/30] seed=405007 stall        theirs=[1.875142,1.9999] mine=[1.913353,1.934213] OK (2.8s)
  [22/30] seed=405005 near2-double theirs=[1.942032,2.0366] mine=[1.958211,1.965379] OK (2.8s)
  [23/30] seed=606006 stall        theirs=[1.549770,1.7254] mine=[1.611632,1.657515] OK (2.8s)
  [24/30] seed=505007 stall        theirs=[1.824629,1.8971] mine=[1.840152,1.859965] OK (2.8s)
  [25/30] seed=406003 near2-double theirs=[1.957060,2.0453] mine=[1.972872,1.979409] OK (2.7s)
  [26/30] seed=404002 near2-double theirs=[1.922058,2.3778] mine=[1.954831,1.965920] OK (2.7s)
  [27/30] seed=603008 stall        theirs=[1.924657,2.0614] mine=[1.928105,1.937069] OK (2.8s)
  [28/30] seed=200005 stall        theirs=[1.693799,1.9798] mine=[1.694515,1.717739] OK (2.8s)
  [29/30] seed=403000 stall        theirs=[1.595661,1.9400] mine=[1.628478,1.640464] OK (2.9s)
  [30/30] seed=604008 stall        theirs=[1.589050,1.6596] mine=[1.592285,1.792937] OK (2.8s)
done: 30 endpoints, 0 inconsistent
