# n  z(n)  witness m with K(m/n) = z(n)  canonical expansion
# exhaustive minimality: harness/zaremba/zscan.c exact 2 100000 (see attempt 001)
6 5 5 [0;1,5]
20 4 9 [0;2,4,2]
28 4 23 [0;1,4,1,1,2]
38 4 9 [0;4,4,2]
42 4 11 [0;3,1,4,2]
54 5 17 [0;3,5,1,2]
90 4 19 [0;4,1,2,1,4]
96 4 29 [0;3,3,4,2]
150 5 29 [0;5,5,1,4]
156 4 37 [0;4,4,1,1,1,2]
164 4 43 [0;3,1,4,2,1,2]
216 4 49 [0;4,2,2,4,2]
228 4 61 [0;3,1,2,1,4,3]
252 4 55 [0;4,1,1,2,1,1,4]
318 4 113 [0;2,1,4,2,1,1,1,2]
336 4 71 [0;4,1,2,1,2,1,4]
350 4 83 [0;4,4,1,1,1,1,3]
384 4 91 [0;4,4,1,1,4,2]
386 4 81 [0;4,1,3,3,1,4]
442 4 103 [0;4,3,2,3,4]
508 4 111 [0;4,1,1,2,1,3,4]
558 4 119 [0;4,1,2,4,1,1,1,2]
770 4 173 [0;4,2,4,1,1,2,3]
876 4 229 [0;3,1,4,1,2,1,1,1,3]
922 4 191 [0;4,1,4,1,3,1,2,2]
978 4 205 [0;4,1,3,2,1,3,4]
1014 4 223 [0;4,1,1,4,1,4,4]
1155 4 241 [0;4,1,3,1,4,1,1,4]
1170 4 263 [0;4,2,4,2,1,2,3]
1410 4 317 [0;4,2,4,3,3,3]
1450 4 307 [0;4,1,2,1,1,1,1,2,1,4]
1692 4 355 [0;4,1,3,3,1,1,1,1,4]
1870 4 397 [0;4,1,2,2,4,1,2,1,2]
2052 4 425 [0;4,1,4,1,4,1,1,1,1,2]
2370 4 521 [0;4,1,1,4,1,1,1,1,4,2]
3618 4 755 [0;4,1,3,1,4,4,3,2]
5052 4 1049 [0;4,1,4,2,3,2,1,3,2]
6234 4 1309 [0;4,1,3,4,1,3,1,1,1,4]
